ZipCode,City,MixedCity,StateCode,County,MixedCounty,Latitude,Longitude,avg_rent_one
46032,CARMEL,Carmel,IN,HAMILTON,Hamilton,39.972741,-86.177082,920.0
46201,INDIANAPOLIS,Indianapolis,IN,MARION,Marion,39.775737,-86.109626,556.0
46204,INDIANAPOLIS,Indianapolis,IN,MARION,Marion,39.77275,-86.159447,1312.0
46250,INDIANAPOLIS,Indianapolis,IN,MARION,Marion,39.911358,-86.07074899999999,859.0
46280,INDIANAPOLIS,Indianapolis,IN,HAMILTON,Hamilton,39.941724,-86.11153399999999,1174.0
46220,INDIANAPOLIS,Indianapolis,IN,MARION,Marion,39.866058,-86.101651,864.0
46260,INDIANAPOLIS,Indianapolis,IN,MARION,Marion,39.894529999999996,-86.181154,738.0
50266,WEST DES MOINES,West Des Moines,IA,POLK,Polk,41.559852,-93.785641,970.0
50613,CEDAR FALLS,Cedar Falls,IA,BLACK HAWK,Black Hawk,42.516968,-92.49115,720.0
53211,MILWAUKEE,Milwaukee,WI,MILWAUKEE,Milwaukee,43.081652000000005,-87.890288,797.0
53713,MADISON,Madison,WI,DANE,Dane,43.03725,-89.386868,789.0
58102,FARGO,Fargo,ND,CASS,Cass,46.925828,-96.828912,667.0
58103,FARGO,Fargo,ND,CASS,Cass,46.854703,-96.823065,549.0
